scenfile,max_agent_one_solvable,max_agent_all_solvable
empty-8-8-random-9.scen,30.0,30
empty-48-48-random-24.scen,1150.0,220
empty-16-16-even-12.scen,120.0,70
lt_gallowstemplar_n-even-5.scen,1000.0,80
empty-8-8-even-3.scen,30.0,30
empty-8-8-random-1.scen,30.0,30
empty-32-32-random-21.scen,510.0,150
random-64-64-10-even-23.scen,1000.0,200
empty-16-16-even-6.scen,120.0,70
empty-32-32-random-2.scen,510.0,150
empty-48-48-even-18.scen,1150.0,220
empty-16-16-even-13.scen,120.0,70
room-64-64-8-even-5.scen,650.0,50
empty-8-8-even-21.scen,30.0,30
warehouse-10-20-10-2-2-even-19.scen,1000.0,280
empty-8-8-even-9.scen,30.0,30
maze-32-32-2-even-23.scen,200.0,30
empty-32-32-random-9.scen,510.0,150
empty-8-8-even-6.scen,30.0,30
empty-16-16-even-1.scen,120.0,70
empty-16-16-even-10.scen,120.0,70
empty-8-8-even-2.scen,30.0,30
Boston_0_256-even-17.scen,1000.0,220
den520d-even-23.scen,1000.0,240
empty-8-8-random-16.scen,30.0,30
empty-48-48-even-17.scen,1150.0,220
empty-8-8-even-23.scen,30.0,30
empty-48-48-random-14.scen,1150.0,220
room-32-32-4-even-20.scen,340.0,50
random-32-32-20-even-12.scen,400.0,70
empty-16-16-even-18.scen,120.0,70
empty-32-32-even-25.scen,510.0,150
empty-48-48-even-4.scen,1150.0,220
empty-8-8-even-18.scen,30.0,30
empty-48-48-random-5.scen,1150.0,220
empty-32-32-random-1.scen,510.0,150
empty-32-32-even-5.scen,510.0,150
empty-32-32-random-8.scen,510.0,150
empty-16-16-even-23.scen,120.0,70
Boston_0_256-even-5.scen,1000.0,220
empty-16-16-even-4.scen,120.0,70
empty-32-32-even-9.scen,510.0,150
empty-32-32-random-11.scen,510.0,150
warehouse-20-40-10-2-2-even-14.scen,1010.0,490
warehouse-10-20-10-2-2-even-25.scen,1000.0,280
empty-32-32-random-4.scen,510.0,150
empty-48-48-random-7.scen,1150.0,220
warehouse-10-20-10-2-2-even-10.scen,1000.0,280
empty-32-32-even-6.scen,510.0,150
warehouse-20-40-10-2-1-even-18.scen,1000.0,310
empty-8-8-random-12.scen,30.0,30
warehouse-20-40-10-2-2-even-21.scen,1010.0,490
empty-8-8-even-8.scen,30.0,30
empty-8-8-even-16.scen,30.0,30
empty-8-8-random-3.scen,30.0,30
empty-16-16-even-9.scen,120.0,70
empty-32-32-even-18.scen,510.0,150
empty-8-8-random-7.scen,30.0,30
empty-8-8-random-14.scen,30.0,30
empty-32-32-even-14.scen,510.0,150
maze-128-128-1-even-16.scen,160.0,20
empty-32-32-even-20.scen,510.0,150
warehouse-10-20-10-2-1-even-12.scen,1000.0,160
empty-16-16-even-3.scen,120.0,70
den312d-even-22.scen,940.0,80
Paris_1_256-even-5.scen,1060.0,310
empty-48-48-random-2.scen,1150.0,220
empty-48-48-even-14.scen,1150.0,220
Boston_0_256-even-14.scen,1000.0,220
room-32-32-4-even-8.scen,340.0,50
empty-48-48-even-3.scen,1150.0,220
den312d-even-14.scen,940.0,80
empty-16-16-random-19.scen,120.0,70
empty-8-8-random-13.scen,30.0,30
Paris_1_256-even-24.scen,1060.0,310
empty-32-32-even-7.scen,510.0,150
ost003d-even-20.scen,1000.0,140
empty-8-8-even-4.scen,30.0,30
ost003d-even-16.scen,1000.0,140
empty-32-32-random-18.scen,510.0,150
warehouse-20-40-10-2-2-even-2.scen,1010.0,490
Berlin_1_256-even-17.scen,1000.0,420
empty-16-16-random-23.scen,120.0,70
empty-48-48-even-13.scen,1150.0,220
ht_chantry-even-21.scen,1000.0,90
empty-16-16-even-16.scen,120.0,70
empty-32-32-random-16.scen,510.0,150
maze-32-32-4-even-17.scen,290.0,40
random-64-64-20-even-24.scen,1000.0,140
empty-16-16-even-7.scen,120.0,70
empty-8-8-random-15.scen,30.0,30
random-64-64-20-even-8.scen,1000.0,140
empty-48-48-even-20.scen,1150.0,220
empty-16-16-random-6.scen,120.0,70
warehouse-10-20-10-2-2-even-9.scen,1000.0,280
empty-8-8-even-17.scen,30.0,30
den312d-even-4.scen,940.0,80
empty-48-48-even-19.scen,1150.0,220
empty-8-8-random-6.scen,30.0,30
warehouse-10-20-10-2-1-even-2.scen,1000.0,160
random-64-64-20-even-12.scen,1000.0,140
empty-48-48-even-15.scen,1150.0,220
den520d-even-10.scen,1000.0,240
empty-48-48-even-8.scen,1150.0,220
empty-48-48-random-11.scen,1150.0,220
maze-128-128-10-even-13.scen,1130.0,50
empty-16-16-random-9.scen,120.0,70
empty-8-8-random-10.scen,30.0,30
empty-48-48-even-1.scen,1150.0,220
empty-16-16-random-21.scen,120.0,70
lak303d-even-14.scen,1000.0,70
Boston_0_256-even-23.scen,1000.0,220
empty-8-8-even-14.scen,30.0,30
maze-32-32-4-even-4.scen,290.0,40
warehouse-10-20-10-2-1-even-21.scen,1000.0,160
empty-48-48-even-6.scen,1150.0,220
empty-16-16-random-2.scen,120.0,70
Berlin_1_256-even-2.scen,1000.0,420
empty-8-8-even-22.scen,30.0,30
empty-48-48-random-12.scen,1150.0,220
empty-32-32-even-22.scen,510.0,150
empty-16-16-even-19.scen,120.0,70
empty-8-8-even-5.scen,30.0,30
warehouse-20-40-10-2-2-even-22.scen,1010.0,490
empty-32-32-random-19.scen,510.0,150
empty-8-8-random-18.scen,30.0,30
Boston_0_256-even-12.scen,1000.0,220
empty-48-48-even-12.scen,1150.0,220
lak303d-even-2.scen,1000.0,70
empty-32-32-random-7.scen,510.0,150
warehouse-10-20-10-2-1-even-13.scen,1000.0,160
empty-32-32-random-23.scen,510.0,150
empty-16-16-random-11.scen,120.0,70
empty-16-16-random-1.scen,120.0,70
maze-128-128-2-even-18.scen,310.0,20
empty-16-16-even-14.scen,120.0,70
empty-32-32-random-22.scen,510.0,150
empty-16-16-random-14.scen,120.0,70
room-64-64-8-even-4.scen,650.0,50
empty-8-8-even-15.scen,30.0,30
empty-32-32-even-2.scen,510.0,150
ht_mansion_n-even-24.scen,1000.0,120
empty-8-8-random-21.scen,30.0,30
random-64-64-10-even-4.scen,1000.0,200
empty-8-8-random-24.scen,30.0,30
lak303d-even-5.scen,1000.0,70
empty-32-32-even-17.scen,510.0,150
empty-16-16-even-2.scen,120.0,70
random-32-32-20-even-17.scen,400.0,70
empty-16-16-even-21.scen,120.0,70
warehouse-20-40-10-2-2-even-24.scen,1010.0,490
maze-32-32-2-even-5.scen,200.0,30
random-32-32-20-even-20.scen,400.0,70
ht_mansion_n-even-23.scen,1000.0,120
empty-48-48-even-2.scen,1150.0,220
ht_mansion_n-even-10.scen,1000.0,120
empty-8-8-even-20.scen,30.0,30
